DATE,BAA10Y_PCH
3/26/18,-1.60428
3/27/18,1.08696
3/28/18,0
3/29/18,-0.53763
4/3/18,-1.07527
4/4/18,0.54348
4/5/18,-0.54054
4/6/18,0
4/9/18,-0.54348
4/10/18,-1.63934
4/11/18,0
4/12/18,-0.55556
4/13/18,0
4/16/18,-1.11732
4/17/18,-0.56497
4/18/18,0
4/19/18,0.56818
4/20/18,0.56497
4/23/18,-1.1236
4/24/18,0.56818
4/25/18,1.69492
4/26/18,0
4/27/18,0
4/30/18,-0.55556
5/1/18,1.67598
5/2/18,0.54945
5/3/18,1.63934
5/4/18,0
5/7/18,0.53763
5/8/18,0
5/9/18,-0.53476
5/10/18,-1.07527
5/11/18,-1.08696
5/14/18,-0.54945
5/15/18,0
5/16/18,-0.55249
5/17/18,1.11111
5/18/18,0.54945
5/21/18,0
5/22/18,0
5/23/18,0.54645
5/24/18,0
5/25/18,0.54348
5/30/18,-2.55102
5/31/18,-1.04712
6/1/18,0.5291
6/4/18,-1.05263
6/5/18,1.06383
6/6/18,0.52632
6/7/18,-1.04712
6/8/18,0.5291
6/11/18,-0.52632
6/12/18,-0.5291
6/13/18,-0.53191
6/14/18,0.53476
6/15/18,-0.53191
6/18/18,1.60428
6/19/18,0.52632
6/20/18,0.52356
6/21/18,1.5625
6/22/18,1.02564
6/25/18,1.01523
6/26/18,0
6/27/18,-0.50251
6/28/18,1.0101
6/29/18,-0.5
7/2/18,-1.00503
7/3/18,1.01523
7/6/18,0.51282
7/9/18,-1.53061
7/10/18,-1.03627
7/11/18,0
7/12/18,-0.52356
7/13/18,0
7/16/18,0.52632
7/17/18,-0.52356
7/18/18,-0.52632
7/19/18,0.5291
7/20/18,0.52632
7/23/18,0
7/24/18,-1.57068
7/25/18,-0.53191
7/26/18,-1.06952
7/27/18,-0.54054
7/30/18,0
7/31/18,-0.54348
8/1/18,0
8/2/18,0.54645
8/3/18,0
8/6/18,-1.08696
8/7/18,0
8/8/18,1.0989
8/9/18,0.54348
8/10/18,1.08108
8/13/18,2.13904
8/14/18,-0.52356
8/15/18,0
8/16/18,-0.52632
8/17/18,0
8/20/18,0
8/21/18,-0.5291
8/22/18,1.59574
8/23/18,-0.52356
8/24/18,0
8/27/18,-0.52632
8/28/18,0.5291
8/29/18,-1.05263
8/30/18,1.06383
8/31/18,1.05263
9/5/18,0.51546
9/6/18,-1.02564
9/7/18,0
9/10/18,-0.51813
9/11/18,-1.04167
9/12/18,-0.52632
9/13/18,-1.0582
9/14/18,0.53476
9/17/18,0
9/18/18,0
9/19/18,0
9/20/18,-1.59574
9/21/18,-1.08108
9/24/18,0.54645
9/25/18,-0.54348
9/26/18,0.54645
9/27/18,-0.54348
9/28/18,0.54645
10/1/18,-0.54348
10/2/18,0.54645
10/3/18,-0.54348
10/4/18,0.54645
10/5/18,0.54348
10/10/18,1.08696
10/11/18,1.07527
10/12/18,0
10/15/18,0.53191
10/16/18,-0.5291
10/17/18,0
10/18/18,2.12766
10/19/18,0
10/22/18,0
10/23/18,2.08333
10/24/18,1.53061
10/25/18,-0.50251
10/26/18,2.0202
10/29/18,0
10/30/18,0.49505
10/31/18,0
11/1/18,0.49261
11/2/18,-0.98039
11/5/18,0
11/6/18,-1.9802
11/7/18,-1.0101
11/8/18,0
11/9/18,1.02041
11/14/18,2.45098
11/15/18,1.91388
11/16/18,0
11/19/18,1.40845
11/20/18,0.46296
11/21/18,0
11/26/18,-0.91743
11/27/18,1.85185
11/28/18,0.90909
11/29/18,1.8018
11/30/18,0.44248
12/3/18,-0.44053
12/4/18,-0.44248
12/7/18,0.87336
12/10/18,0
12/11/18,-2.1645
12/12/18,-0.88496
12/13/18,0.44643
12/14/18,0
12/17/18,0
12/18/18,0.44444
12/19/18,0.44248
12/20/18,0.44053
12/21/18,1.31579
12/24/18,1.7316
12/27/18,1.28755
12/28/18,3.38983
12/31/18,0.40984
1/3/19,1.22449
1/4/19,-1.20968
1/7/19,-1.22449
1/8/19,-1.23967
